No;Date;Open;High;Low;Close;Volume;;;
363;Jun 09, 2022;1.842,70;1.875,60;1.823,90;1.871,50;149,00;;;
364;Jun 12, 2022;1.873,80;1.873,80;1.818,70;1.828,00;127,00;;;
365;Jun 13, 2022;1.825,00;1.825,50;1.805,30;1.809,50;536,00;;;
366;Jun 14, 2022;1.814,10;1.839,00;1.810,80;1.815,30;108,00;;;
367;Jun 15, 2022;1.819,20;1.850,60;1.814,90;1.845,70;136,00;;;
368;Jun 16, 2022;1.853,70;1.853,70;1.833,60;1.835,60;170,00;;;
369;Jun 20, 2022;1.835,30;1.838,60;1.830,10;1.834,60;216,00;;;
370;Jun 21, 2022;1.829,50;1.842,70;1.821,60;1.834,30;115,00;;;
371;Jun 22, 2022;1.835,50;1.841,20;1.825,70;1.825,70;9,00;;;
372;Jun 23, 2022;1.820,50;1.826,50;1.815,80;1.826,50;61,00;;;
373;Jun 26, 2022;1.830,50;1.830,70;1.819,90;1.820,90;77,00;;;
374;Jun 27, 2022;1.824,20;1.826,00;1.817,50;1.817,50;391,00;;;
375;Jun 28, 2022;1.818,30;1.830,30;1.812,80;1.813,70;173,00;;;
376;Jun 29, 2022;1.809,60;1.817,30;1.801,00;1.804,10;328,00;;;
377;Jun 30, 2022;1.795,50;1.806,10;1.791,60;1.798,90;77,00;;;
378;Jul 04, 2022;1.805,40;1.805,40;1.761,80;1.761,80;64,00;;;
379;Jul 05, 2022;1.762,50;1.768,00;1.734,00;1.734,90;1.729,00;;;
380;Jul 06, 2022;1.745,20;1.745,20;1.737,00;1.737,90;1.869,00;;;
381;Jul 07, 2022;1.738,10;1.749,30;1.732,10;1.740,60;370,00;;;
382;Jul 10, 2022;1.732,50;1.736,70;1.730,00;1.730,00;75,00;;;
383;Jul 11, 2022;1.734,20;1.735,50;1.723,30;1.723,30;451,00;;;
384;Jul 12, 2022;1.710,00;1.734,20;1.710,00;1.734,20;368,00;;;
385;Jul 13, 2022;1.710,30;1.710,50;1.704,50;1.704,50;1.289,00;;;
386;Jul 14, 2022;1.705,40;1.709,70;1.701,10;1.702,40;721,00;;;
387;Jul 17, 2022;1.712,20;1.712,40;1.709,20;1.709,20;264,00;;;
388;Jul 18, 2022;1.712,30;1.714,40;1.706,10;1.710,00;1.684,00;;;
